product_name,energy_100g,sugars_100g,fat_100g,proteins_100g,salt_100g,fiber_100g,carbohydrates_100g,nutrition_grade
Tranches Au Goût Cheddar,1175.0,0.0,8.0,8.0,3.25,,21.0,e
Creamy Peanut Butter,2531.0,11.4,43.4,26.9,1.0,7.7,16.6,c
Excellence Noir Délicat Doux 85% Cacao,2526.0,14.0,55.0,8.9,0.02,0.0,19.0,e
Golden,1943.0,27.0,14.5,6.3,0.43,0.2,76.0,e
Miel Pops,1625.7,22.0,1.5,5.2,0.4,4.6,85.0,c
"Lentilles cuisinées, riz & soja",638.0,1.6,6.4,6.4,0.72,8.9,13.0,b
Sourdough Grains & Seeds,995.861783571281,1.44837575005173,2.68984067866749,10.552451893234,0.812124974136147,4.7589488930271,39.9337885371405,a
SPAGHETTI N°5,1521.0,3.5,2.0,13.0,0.01,3.0,71.0,a
Heudebert Fibre +,1618.0,5.4,5.7,15.0,1.1,12.0,63.0,c
Muesli croustillant tradition,1838.9,20.0,13.0,9.1,0.05,5.9,68.0,c
Nature aux Amandes - Végétal soja & amande,226.0,2.2,2.8,3.9,0.25,1.1,2.3,a
Crousti' Avoine Chocolat,1747.0,14.0,13.0,10.0,0.1,9.5,60.0,c
nutella,2252.0,56.3,30.9,6.3,0.17,,57.5,e
Frische Milch & Rahm / Lait frais & Crème,1269.0,2.0,29.0,9.0,1.3,,2.0,d
Protein Cocoa Hazelnut Bars,1754.0,25.2,21.7,16.1,0.01,15.4,32.6,not-applicable
NAKD Cacahuètes - 140g (4x1p),1843.0,35.0,23.0,12.0,0.58,9.3,42.0,not-applicable
Mélange de Noix & Fruits secs,2100.2,35.7,31.7,10.8,0.02,6.9,40.5,d
Muesli aux fruits,1509.0,10.0,6.0,11.0,0.02,10.0,60.0,a
Be Nuts ! 100 % Cacahuète,2604.0,6.1,48.0,27.0,0.01,9.6,15.0,a
Delicia double concentre de tomates,386.0,0.0,0.09,4.13,0.0,0.0,18.35,a
Fromage blanc au lait de brebis,398.0,4.5,6.3,5.3,0.11,,4.5,c
Pindakaas,2434.0,2.75,48.2,24.3,1.25,0.0,24.8,d
INTEGRALE WHOLE WHEAT PENNE RIGATE,1466.0,3.5,2.5,13.0,0.01,8.0,64.0,a
Houilor,3700.0,0.0,100.0,0.0,0.0,0.0,0.0,b
double zéro Cerise,202.0,0.0,0.2,3.4,0.0,,8.23,a
Philadelphia Original,943.5,4.3,21.0,5.4,0.7375,0.2,4.3,d
Beurre de cacahuètes,2453.4,5.9,45.7,29.4,0.69,8.4,11.5,c
Cranberries,1388.4,67.8,0.9,0.5,0.03,6.4,76.2,d
Épeautre noisette,319.0,7.6,3.0,1.0,0.09,0.5,11.0,e
Tartines craquantes à la châtaigne,1616.0,6.5,1.8,6.7,0.3,4.3,83.0,b
GREAT WHITE,1003.6,2.1,0.7,9.7,0.7875,3.0,46.4,b
Muesli sans sucres ajoutés raisin figue datte abricot,1485.0,14.0,5.8,11.0,0.03,10.0,59.0,a
La Biscotte 96% de céréales,1722.0,6.8,7.3,11.0,1.2,3.6,73.0,d
Muesli Crunchy,1678.0,3.2,12.0,8.8,0.08,23.0,52.0,a
JBEN CHERGUI,782.4,0.1,16.0,8.4,0.6,,2.8,d
Aicha Tomato Paste,496.0,9.0,0.4,4.6,0.5,3.0,23.7,c
Danone (zéro sucre ajouté zéro matière grasse),401.2,0.0,0.4,6.8,0.0,,16.28,unknown
Paprika čipsi,2152.0,3.4,29.0,6.7,1.2775,3.8,55.0,d
Sea salt & cider vinegar chips,2095.5,1.3,27.2,6.4,1.475,6.3,54.7,d
Boisson Noisette,286.0,4.0,4.5,1.0,0.05,1.1,5.5,d
Tartines p’tit dej,1127.0,5.3,4.3,10.0,1.0,6.2,44.0,b
Confiture fraise sans sucre ajoutes,374.0,21.7,0.5,0.6,0.02,8.9,21.7,b
Yaos Yaourt à la Grecque Nature,420.0,3.5,7.9,3.1,0.12,0.0,3.5,c
Honey,1360.0,80.0,0.0,0.0,5e-05,,80.0,unknown
Country Crisp 4 Noix,1949.0,18.0,20.0,11.0,0.03,6.1,58.6,c
Soja nature sans sucre ajouté bio,178.0,0.5,2.6,3.9,0.03,0.5,0.7,b
4 burgers géant à la farine complète,1139.0,4.8,5.0,9.4,1.1,5.8,44.0,c
Velouté Fraise,396.0,9.0,3.0,2.3,0.0,,14.7,c
Dessert gourmand choco,900.0,10.0,10.0,3.33333333333333,0.0,1.66666666666667,31.6666666666667,c
Vip crema gold,0.5,,0.5,0.5,1.25,0.5,0.5,unknown
Pringles Original,2227.0,1.4,31.0,5.9,1.1,3.5,56.0,d
Germe de blé,1572.0,14.0,9.6,30.0,0.02,14.0,35.0,a
Tresor - Choco Nut,1838.0,26.0,15.0,6.6,0.94,3.7,71.0,d
Margarine omega 3 doux,1924.0,0.0,52.0,0.0,0.42,,,c
Les Fourrées  -  Beurre de Cacahuète & Cacao,1846.0,13.0,17.0,13.0,0.13,6.0,58.0,b
Douceur fromage frais,1072.0,3.0,24.0,7.01,0.61,,3.1,d
Rostlinná slanina,963.1,1.2,15.0,15.0,2.2,3.2,7.5,d
Tartines Craquantes Multi-Céréales,1599.0,2.8,2.3,9.9,0.32,2.5,78.0,b
Natural Coconut Cream,147.0,0.0,4.0,0.0,0.0,0.0,0.0,c
Gourmand & Végétal Brassé Nature,311.0,0.3,4.9,0.6,0.09,,7.0,c
Tofu fumé,578.5,0.5,7.7,15.0,0.59,2.7,1.0,a
Pringles Sare,2203.0,0.9,31.0,6.1,1.0,4.1,55.0,d
Les tranches végé haricots rouges,147.0,3.6,6.2,7.0,1.8,4.8,5.3,c
Double concentré de tomates,525.0,9.0,0.4,4.6,0.5,3.0,24.0,a
nuggets soja,986.0,0.7,12.5,13.1,0.98,5.7,15.0,a
Biscottes,698.0,2.8,2.9,4.6,0.47,1.4,29.0,c
Pain complet seigle,835.0,4.0,1.3,4.6,1.1,10.0,37.0,b
Margarine patissière,2701.0,0.0,73.0,0.0,0.3,,2.0,d
Tartine & Cuisson 100% végétal,2331.0,0.0,63.0,0.0,0.3,0.0,0.0,c
Danup fraise,59.0,5.5,1.28,1.75,0.0,0.0,10.1,c
margarine la prairie 225g,2659.0,0.0,70.0,1.0,0.7,0.0,0.7,c
Caprice des Dieux,1379.0,0.1,30.0,15.0,1.4,,0.8,d
Orangensaft,182.0,8.9,0.0,0.8,0.0,0.6,8.9,c
PET 2L OASIS TROPICAL,120.0,6.6,0.0,0.1,0.03,0.0,6.6,d
Elle & vire creme fraiche epaisse legere 12%mg poche 328g,600.0,3.9,12.0,3.1,0.11,0.0,6.1,d
Crème de coco légère,720.0,1.6,16.0,1.2,0.08,1.1,5.8,d
"Muesli con quinoa, chía y chocolate negro",1748.0,18.0,13.0,9.8,0.11,10.0,60.0,c
Protein Drink Fraise Framboise,255.0,5.2,0.5,8.4,0.18,0.0,5.5,not-applicable
Pain de mie nature,1125.0,7.7,4.3,7.0,1.1,3.8,48.0,c
Paysan Breton - Le Fromage Fouetté Madame Loïk - Echalote Ciboulette,999.0,2.9,23.0,5.5,1.2,,3.2,d
Poms 2,1173.0,63.0,0.0,0.0,0.0,,69.0,e
Double concentre de tomate,519.9,9.0,0.4,4.6,0.8,3.0,23.7,a
Myrtille Intense,693.0,39.0,0.2,0.5,0.0,1.8,39.0,d
Capri choco,2118.0,33.0,22.0,4.4,0.3,,71.0,e
Mousline Nature,1443.0,2.3,0.8,7.5,0.01,7.0,73.6,unknown
Biscottes Complètes bio,1596.0,4.0,5.0,15.0,1.3,8.5,64.0,c
Pecan Nuts natural,2984.0,4.1,71.4,11.2,0.01,10.0,4.2,a
Houmous sésame,1120.0,0.7,22.2,5.8,1.19,7.4,8.4,b
Organic Extra Virgin Olive Oil,3206.66666666667,0.0,86.6666666666667,0.0,0.0,0.0,0.0,b
Cerelac,,0.0,10.0,15.0,0.51,2.5,71.2,not-applicable
Cracotte fibres,1577.5,6.3,3.5,11.0,1.4,11.0,69.0,c
Huile d'olive vierge extra,3404.0,0.0,92.0,0.0,0.0,0.0,0.0,b
Pastasaus m/Basilikum,220.9,4.5,2.8,1.6,0.61,,5.3,b
Leben,170.5,0.0,2.4,3.1,0.0,,4.7,b
Beurre de Cacahuètes Extra-Crunchy,2525.0,10.3,43.9,27.5,0.82,7.9,15.6,c
filets de sardines sans peau sans arêtes à l'huile végétale,1063.4,0.2,16.1,19.8,1.1,3.0,6.3,c
Chèvre piment d'Espelette,2186.0,2.6,31.0,6.3,1.6,4.8,52.0,d
Epinards hachés à la crème fraîche,326.0,1.4,4.4,3.5,0.6,1.7,5.3,b
Avena crunchy,1645.0,4.6,5.8,13.0,0.2,11.0,66.0,a
Classic,4.0,0.0,0.0,0.2,0.0,0.0,0.3,unknown
Tartines craquantes Sarrasin,1579.0,3.6,2.8,12.0,0.5,3.8,73.0,b
Crème glacée Vanille de Madagascar,773.0,17.0,8.4,2.4,0.11,,24.0,d
Pringles sour cream & onion,2167.0,2.0,30.0,6.3,1.1,4.0,54.0,d
Délicia - confiture d'abricot,1157.0,,0.12,0.41,,,67.36,unknown
Wasa tartine croustillante sensation aux graines de chia & touche de sel 245g,1427.0,0.5,3.0,10.0,1.2,20.0,58.0,b
Weetabix,1531.0,4.2,2.0,12.0,0.28,10.0,69.0,a
Colin d'Alaska MSC façon Fish & Chips,866.3,0.5,9.5,11.0,0.7275,0.6,19.0,b
Fromage Blanc Nature 3%,295.0,3.3,3.0,7.5,0.1,,3.3,a
Coulommiers Doux et Crémeux,1174.0,0.1,23.0,18.0,1.5,,1.0,d
Skyr vanille,360.714285714286,7.71428571428571,1.92857142857143,8.71428571428571,0.1,,8.42857142857143,b
Seeded Sourdough Bread,1060.86206896552,0.517241379310345,3.79310344827586,8.62068965517241,0.0021551724137931,5.51724137931035,42.9310344827586,a
Danone ALPRO® Joghurt Soja Heidelbeere 400g,291.7,7.9,2.2,3.7,0.15,1.0,8.2,b
Croustibat,821.3,0.7,8.7,13.0,0.67,0.8,16.0,a
Or Blanc,940.8,5.9,18.0,9.5,4.25,0.35,6.5,e
Céréales Miel Pops,1625.7,22.0,1.5,5.2,0.4,4.6,85.0,c
Jutos,66.8,8.0,0.0,0.0,0.05,0.0,10.0,d
Framboise délicate,378.0,12.0,2.8,3.8,0.14,,12.1,c
Coco sans sucres,79.6,0.5,1.4,0.6,0.11,0.5,0.8,b
Les fourrées cacao noisette,1786.0,21.0,15.0,7.8,0.03,4.2,68.0,c
Spaghetti au Quinoa Persil Ail,1615.0,2.1,2.2,12.0,0.025,4.7,76.0,a
"Muesli fibres - Son de blé, Figues, Pruneaux",1447.0,9.0,6.0,12.0,0.02,15.0,53.0,a
Comté,1700.0,0.5,34.0,26.0,0.8,,0.5,d
Biscuits Germe de Blé et Pépites de Chocolat,1956.0,21.0,18.0,9.1,0.69,4.2,65.0,d
Amande intense,252.1,4.0,4.0,1.2,0.09,0.9,4.5,d
Galettes millet et boulghour aux champignons,792.4,3.7,5.2,6.8,1.0,5.3,26.0,b
Biscottes Pleine vie Sans sel ajouté,1719.0,4.8,6.1,12.0,0.01,3.7,74.0,c
Chips saveur Pesto Mozzarella,2177.0,3.4,31.0,6.3,1.4,4.8,52.0,d
Filets de Maquereaux à la moutarde,831.0,0.3,17.0,11.0,1.3,0.6,0.6,d
Hemani Coconut Oil Pure & Natural (400ML),529.9,0.0,14.0,0.0,0.0,,0.7,d
"céréales et légumes, façon pad thaï, bio",509.9,1.1,4.5,5.8,0.98,5.1,12.0,b
Compote de pomme allégée,265.7,14.0,0.2,0.3,0.0,1.9,14.0,a
Céréales All Bran Kellogg's Fibre Plus,1400.0,18.0,3.5,14.0,0.95,27.0,48.0,c
Pâte à tarte brisée - Pur beurre,1536.0,2.3,19.0,6.9,0.94,2.3,41.0,d
Noisetta,2262.8,57.3,32.9,3.1,0.05,,58.4,e
Organic Lightly Salted Wholegrain Low Fat Rice Cakes,1643.5,0.5,2.7,8.5,0.295,0.0,82.3,b
Jason's Sourdough,991.333333333333,2.66666666666667,1.11111111111111,9.33333333333333,0.687222222222222,3.55555555555556,44.8888888888889,b
Activia ananas fraise,251.0,5.5,1.2,2.7,0.0,0.0,9.6,a
Chips paysanne nature,2148.0,0.5,30.0,6.2,1.3,3.9,54.0,d
Nuez natural pelada,2951.0,1.7,69.6,17.0,0.0,6.2,2.2,a
Rice Krispies,1649.0,7.9,1.2,7.0,1.0,2.9,86.0,c
Organic Bread 21 Whole Grains and Seeds,563.5,4.0,1.5,6.0,0.425,4.0,22.0,b
Lait Amande calcium,106.0,0.5,1.7,0.7,0.1,0.5,1.7,b
"Le Gourmand Soja, Poivre et Persil",729.0,3.0,4.8,20.0,1.1,4.3,10.4,a
Everyday White Rolls,1039.9,3.4,0.7,10.0,0.7675,1.8,48.8,b
PurSoup' Velouté de 10 légumes,178.0,1.32,1.92,0.72,0.68,0.8,5.2,c
Passierte Tomaten im Glas,149.0,4.5,0.5,1.6,0.5,1.5,5.1,a
ديليسيوس بيرلي,689.8,8.5,6.7,6.4,0.0,0.0,19.4,c
Menguy's Beurre de cacahuètes crunchy,2607.0,8.5,52.0,25.0,0.73,6.7,12.0,c
chips saveur barbecue,2104.0,2.8,27.0,6.5,0.65,5.3,55.0,c
Velouté de 12 legumes,176.0,1.4,1.9,0.7,0.51,0.7,5.2,b
Pistaches de Californie grillées et salées,2571.0,7.7,51.6,23.6,1.5,12.1,7.8,c
Actimel,310.5,5.0,1.8,1.9,0.0,,13.0,d
Olivenöl,3389.2,0.0,91.6,0.0,0.0,0.0,0.0,b
Arôme vanille,0.0,,0.0,0.0,,,0.0,not-applicable
Câlin Extra 0%,260.0,7.8,0.1,6.5,0.13,0.1,7.8,a
Instant Noodles (Baladi Chicken Flavour),1894.0,2.86,17.1428571428571,11.4285714285714,4.6,2.86,61.4285714285714,unknown
Grilletine froment,1799.6,9.0,9.6,12.0,0.88,6.3,70.0,c
Pêche Ice Tea,56.0,3.0,0.0,0.0,0.03,,3.1,d
Brazil Nuts,2873.0,2.5,66.5,16.9,0.01,9.9,2.7,c
Tartines craquantes bio à la châtaigne sans gluten,1616.0,6.5,1.8,6.7,0.39,4.3,83.0,b
Meli mélo gourmand,526.7,1.7,1.2,5.1,0.64,2.7,22.0,c
Pâtes spaghetti n°5 1kg,1521.0,3.5,2.0,13.0,0.01,3.0,71.0,a
Parmentier de saumon 🐟,600.0,1.1,8.9,8.0,0.8,,6.9,c
NAKED ORGANIC TOFU,603.0,0.1,7.8,16.5,0.00015,1.9,1.1,a
Pringles Texas BBQ,2160.1,4.1,29.0,6.3,1.08,3.5,56.0,d
Emmental Français Sans additif,1586.0,0.5,30.0,28.0,0.7,,0.5,c
Fromage à tartiner Ail & Fines herbes,1374.0,2.2,32.0,9.0,1.0,,2.2,d
Kelloggs corn flakes the original,1604.0,8.0,0.9,7.0,1.1,3.0,84.0,d
Guacamole Extra,461.0,1.1,8.3,1.5,0.94,4.2,5.6,a
Cottage cheese,369.111111111111,1.61111111111111,3.72222222222222,12.0,0.759722222222222,,1.61111111111111,b
Boisson avoine - 1L,182.0,5.0,1.2,0.5,0.08,0.8,7.0,c
BUTTERY,2792.0,0.5,75.0,0.5,1.2775,,0.5,e
Kefir - Pur,193.0,4.1,1.5,3.4,0.12,,4.1,b
Cookie Dough Vanilla Ice Cream with Chunks of Chocolate Chip Cookie Dough,1145.0,25.0,15.0,4.1,0.17,,31.0,e
Flocons d'avoine 4 graines et raisins,1654.0,8.6,12.0,15.0,0.03,11.0,51.0,a
Yaourt Grec 10%MG,545.1,3.8,10.0,6.5,0.12,,3.8,c
Aicha Double Concentré De Tomates 140 G,519.9,9.0,0.4,4.6,0.5,3.0,23.7,a
Primevère doux sans huile de palme,2334.4,0.1,63.0,0.1,0.35,,0.1,c
Actimel,319.9,5.0,1.8,1.9,0.0,,13.0,d
Harrys pain de mie extra moelleux complet sans sucres ajoutés 280g,1153.0,5.1,4.6,8.0,1.1,6.0,47.0,c
Recette indienne quinoa et curry,604.0,1.3,6.7,5.4,0.6,7.5,12.0,a
hovis seed sensations,1170.6,3.8,6.6,10.0,0.0022,5.3,42.0,a
Crumpets,739.0,2.0,0.8,6.0,1.48,2.0,35.3,c
"Beurre de cacahuètes bio, 350g",2402.0,5.0,48.0,26.0,0.04,12.0,5.2,a
Creamy Greek Style Natural Yogurt,521.9,4.1,10.0,4.1,0.0975,0.5,4.6,c
"Alpro Sojadrink, Schokoladen-Geschmack, Protein 1L",291.0,5.0,2.8,5.0,0.16,1.3,5.3,b
Pâte à tartiner cacao noisettes bio,2157.0,57.6,27.5,6.4,0.12,,59.0,e
