product_name,energy_100g,sugars_100g,fat_100g,proteins_100g,salt_100g,fiber_100g,carbohydrates_100g,nutrition_grade
proactiv,2182.0,0.5,59.0,0.5,0.8,0.0,0.5,c
Skyr soja nature,263.5,0.2,3.4,6.5,0.01,,1.6,a
Noix de cajou grillées,2545.0,5.2,49.0,20.0,0.04,5.2,22.0,b
Pistaches grillees,2607.0,6.0,53.0,20.0,0.0,6.3,16.0,a
SUN-DRIED TOMATOES,581.0,17.0,0.7,7.0,6.6,6.0,20.0,unknown
Pomme,1480.0,23.0,6.6,4.7,0.34,17.0,60.0,c
Société crème,1116.2,1.6,23.0,14.0,2.0,,1.6,d
BARILLA FUSILLI BUCATI CORTI COLLEZIONE 500g,1521.0,3.5,2.0,13.0,0.01,3.0,71.0,a
Vegane Pommersche - Schnittlauch,916.0,0.7,17.0,7.2,2.1,5.1,7.3,d
Flourless Sprouted Grain Bread Ezekiel 4:9,365.5,0.0,0.5,4.0,0.1875,3.0,15.0,b
Potato Wedges sült krumpli,534.9,0.5,3.3,2.2,0.61,2.3,21.0,c
Muesli 5 céréales nature,1466.0,1.0,3.3,9.7,0.01,12.0,64.0,a
Marmite Yeast Extract,1134.5,1.2,0.5,34.0,10.8,3.5,30.0,e
Rice Pudding,393.0,8.7,2.0,3.1,0.11,0.5,15.6,c
SMOOTH PEANUT BUTTER,2672.0,29.0,54.5,26.3,0.69,6.5,9.2,c
Double Concentré de Tomates,354.0,13.8,0.6,3.9,0.13,3.8,15.9,a
Zumo pura naranja con pulpa,189.0,9.3,0.1,0.7,0.0,0.8,9.9,d
Corn Flakes,1629.6,5.5,1.2,7.7,0.59,3.5,83.9,c
Conikos barbecue,2100.0,3.9,26.0,4.8,2.0,,61.3,e
"VEGEtal Falafels Lentille corail, coco, curry",980.0,4.5,11.0,7.3,0.95,6.3,23.0,a
Cheestrings,1266.0,1.0,22.5,23.0,1.775,,2.5,d
Grec,428.3,11.2,4.5,2.1,0.0,0.0,13.3,c
kefir,212.0,4.2,2.0,3.4,0.0775,,4.7,b
Tomatoey Lentils,515.3,2.9,2.7,8.5,0.628,5.6,13.3,a
Velouté petits pois légumes verts,139.6,0.8,2.0,1.5,0.68,1.4,1.7,b
Burger rústico 100% Integral,1109.0,2.0,4.8,11.0,1.1,8.0,40.0,a
Granola Triple Nut,1837.0,9.5,20.0,9.0,0.03,18.0,47.0,b
Magnum Mini Almond,1433.0,29.0,21.0,4.8,0.14,,32.0,e
Pâtes tortellini jambon fromage collezione 250g,1704.0,2.0,13.0,16.0,1.0,3.3,56.0,c
Fitness Original,1549.0,8.8,2.1,9.4,0.56,10.7,72.2,a
Yogurt,283.9,4.0,0.3,10.0,0.25,0.1,6.0,not-applicable
Rice Basmati,1490.0,0.1,0.8,8.7,0.0,0.4,77.0,c
Choco Krispies,1637.0,17.0,1.9,6.3,0.64,3.8,84.0,c
mozzarella,1205.0,0.0,22.0,22.0,1.0,,1.0,c
Purée de tomate,98.0,3.5,0.0,1.2,0.03,1.3,3.5,a
Rolled Oat Flakes,1524.0,0.7,5.7,12.0,0.0,8.5,62.0,a
Toasts Ronds Nature,1251.0,9.0,6.3,7.3,1.1,3.4,51.0,c
yaourt à boire sans lactose,268.0,0.0,3.5,3.2,0.0,,,b
Bio natives Olivenöl extra,3389.0,0.0,91.6,0.0,0.0,0.0,0.0,b
milky food,953.0,,,,,,4.0,unknown
Le Bio Pomme,142.8,8.4,0.0,0.0,,,8.4,unknown
Ciao Kombucha Menthe,42.5,2.1,0.0,0.0,0.0,0.0,2.5,d
Ricore l'original chicorée et cafe,577.0,9.1,0.5,2.7,0.23,45.3,9.1,unknown
Haricots blancs,440.0,0.2,0.8,6.6,0.4,5.4,15.0,b
Haricots rouges - 1/2,396.0,0.6,0.7,6.8,0.52,6.3,12.0,b
Trio de riz,735.0,0.0,1.6,3.6,0.65,2.4,35.0,c
"Fromage nature au lait pasteurisé 21,5% de MG, 300g",967.0,3.0,22.0,6.0,0.9,0.5,3.0,d
"Saumon et Colin d'Alaska à l'oseille, pommes de terre",383.4,1.7,4.2,4.8,0.45,1.3,8.0,c
"Saumon aux épices tandoori, riz noir et petits légumes",425.8,1.7,2.6,6.4,0.46,2.1,12.0,b
"Fromage frais nature 3,1%",296.0,4.3,3.0,6.4,0.1,0.0,4.5,a
Pommes Dauphine,1250.0,2.0,18.0,6.2,1.1,2.4,27.0,c
Taboulé aux Légumes,721.0,2.4,8.4,3.2,0.68,2.7,20.0,c
Ficello nature,1257.14285714286,0.952380952380952,22.3809523809524,22.8571428571429,1.9047619047619,,2.38095238095238,d
saif banane jaouda 250gr,323.8,4.0,1.4,2.3,0.085,,13.7,c
Cereales de chocolate y avellana,1801.0,38.0,13.0,6.2,0.7875,5.2,69.0,e
Sabra Houmous Extra,1493.0,0.4,33.0,7.0,0.9825,,9.0,c
Oat milk,263.0,3.4,2.8,1.1,0.0975,0.8,7.9,d
Muesli Swiss Style,1515.55555555556,12.4444444444444,4.88888888888889,11.3333333333333,0.0222222222222222,16.0,64.6666666666667,a
Granola nuts & cocoa,1721.0,17.0,15.4,9.2,0.025,3.0,58.0,c
Purée pomme Sans sucres ajoutes,215.0,11.0,0.5,0.5,0.01,1.4,12.0,a
Olives noires à la grecque,1189.0,2.2,28.0,1.7,5.5,8.9,2.2,d
Natillas Proteínas  Sabor Vainilla,324.1,3.6,1.5,10.0,0.1,,5.8,a
Pringles barbecue,2152.1,,30.0,6.3,,,55.0,unknown
Royco Velouté,100.0,0.5,0.5,0.4,0.68,0.4,4.2,unknown
La hollandaise 96p,1255.0,5.2,27.0,8.1,,,6.7,unknown
Lustucru ravioli chevre epinard 250g,1132.0,4.4,8.6,8.8,0.93,2.3,38.0,c
Crunchy Peanut Butter,2654.0,4.6,51.3,28.5,0.01,5.4,12.0,a
Becel Classic,1294.0,0.49,35.0,0.49,0.2,,0.49,c
RIGATONI PESTO PARMESAN BASILIC,818.928571428571,0.285714285714286,9.64285714285714,7.5,0.58,1.60714285714286,18.9285714285714,c
Mix de fruits sec,1832.0,15.6,17.4,19.3,0.399,8.9,46.7,c
Cottage Cheese,347.9,2.0,1.5,15.0,1.575,,2.2,b
Sourdough Bread,974.2,2.4,0.8,10.1,0.905,2.9,44.1,b
Original Peanut Butter Stuffed Oat Bars,1966.875,20.4166666666667,25.625,13.125,0.104166666666667,6.04166666666667,43.9583333333333,c
8 Tortillas au blé,1377.0,3.2,7.3,9.4,0.9,2.3,55.0,c
Peanut Choco,2629.5,23.0,46.0,19.0,0.5125,6.5,32.5,c
Schlemmerfilet à la ITALIONO,2220.0,0.5,60.0,0.5,0.2,0.0,3.8,c
Thon entier au naturel,462.0,0.0,1.08,26.9,1.075,,0.0,a
PRESIDENT CROQUE EMMENTAL 12 TRANCHES 200g,961.0,4.5,17.0,13.5,2.5,0.0,6.0,e
Duo de colin d'Alaska et St Jacques pâtes fondue de poireaux,471.0,2.6,3.7,5.6,0.57,1.2,14.0,b
Chips paysannes nature,2210.0,0.5,32.0,6.1,1.1,4.8,52.0,d
Der Sahnige Frischkäse,984.0,3.0,22.5,5.5,0.7,,3.0,d
Heinz Beanz In a rich tomato sauce,453.78313253012,4.28915662650602,0.337349397590361,4.81927710843374,0.61566265060241,3.85542168674699,19.3253012048193,b
Geeta's Mango Chutney imp,1081.0,57.0,0.5,0.8,2.0,0.8,62.0,e
Yogur Proteínas con Mango y Maracuyá 0%,247.0,5.33333333333333,0.166666666666667,8.33333333333333,0.1,,5.83333333333333,a
Leche de nueces omega 3 28/3,208.0,4.4,2.3,2.8,0.1,,4.4,c
Easy Bake Yeast,8.5,0.0,0.0,0.0,0.0,,0.5,not-applicable
Tofoo Naked Xl,635.3,0.1,7.8,16.5,0.06,1.9,3.0,a
PEANUT BUTTER,2555.2,5.9,49.0,25.8,0.0,8.2,14.0,a
Filets de maquereaux,798.4,0.0,9.54,26.1,0.64,0.0,0.3,a
Confitura de cereza,207.0,7.2,0.3,0.5,0.0,1.9,12.5,a
Knusperbrot Weizen,1626.2,3.5,4.0,13.0,1.2,8.4,70.0,a
Wraps blé complet,1272.7,3.7,7.4,7.7,0.88,6.5,48.0,b
Proactiv Light,1294.0,0.5,35.0,0.5,2.0,0.0,0.5,d
Cèpes & Bolets à la Crème Fraîche,136.0,0.7,1.2,0.8,0.66,0.8,4.5,c
Fette biscottate Integrali 315 gr,1650.0,5.68181818181818,7.95454545454545,13.6363636363636,1.22159090909091,12.5,60.2272727272727,c
Nudeln Trofie,1521.0,3.5,2.0,13.0,0.01,3.0,71.0,a
Corn Thins Original,1560.0,0.555555555555556,3.33333333333333,10.0,0.652777777777778,7.22222222222222,71.1111111111111,a
Émietté de thon Le Mariné basilic,910.0,0.0,13.0,25.0,1.0,0.5,0.0,a
Beurre Gastronomique Doux,3061.0,0.7,82.0,0.7,0.05,0.5,0.9,e
Muesli floconneux morceaux de fruits,1591.0,12.9,8.4,9.9,0.08,9.1,61.2,b
Brandade parmentier de morue,575.0,0.8,8.7,5.9,0.73,1.2,8.5,c
Fondue de poireaux,262.4,1.7,4.1,0.9,0.51,4.7,3.4,a
2 dos de cabillaud façon fish and chips,640.0,1.5,7.0,14.0,0.87,0.9,7.5,a
Riz complet soufflé,1593.0,0.6,2.6,8.1,0.03,2.2,79.0,b
Flocons d'avoine sans gluten,1535.0,1.2,6.7,12.0,0.01,10.0,59.0,a
Morceaux de Gingembre confit,1372.0,74.0,0.3,0.2,0.03,2.2,79.0,not-applicable
Crunchy Peanut Butter,2659.4,3.8,54.3,27.7,1.0825,6.7,7.4,c
Quinoa,1586.55,6.32,6.1,14.0,0.0,,66.05,b
Garlic & Ginger Marinated Tofu,728.0,0.7,13.0,14.0,1.2,0.4,1.4,c
"Low Sugar Granola, Wholegrain Oats, Almonds & Seeds",2058.0,4.4,31.4,13.7,0.05,12.8,33.0,d
Minis leche,1846.0,35.0,13.0,9.9,0.82,3.5,69.0,e
"Bénénuts Plaisir brut Mélange de noix amandes, noix, cajous, noisettes",2772.0,4.2,61.0,19.0,0.01,8.6,9.9,c
Greek style natural yogurt,411.8,4.0,7.5,3.7,0.1,0.0,4.2,c
malted wheaties,1538.0,10.9,1.8,11.7,0.27,13.3,70.0,a
Soft Pitta,1007.93650793651,3.96825396825397,2.22222222222222,11.9047619047619,0.904761904761905,5.3968253968254,40.0,b
Glace Vanille Bourbon,772.0,21.0,6.0,1.4,0.14,0.5,31.0,d
Panier de Yoplait Abricot Nectarine,378.0,12.5,2.3,3.3,0.13,,13.0,c
Knorr Soupe Liquide Mouliné de Légumes Variés 1L,108.0,1.3,0.5,0.8,0.67,1.0,4.0,c
Crème fraiche d’Isigny,1575.0,3.57142857142857,39.2857142857143,0.0,0.0446428571428571,,7.14285714285714,d
Riz aux Légumes du Soleil,640.1,0.7,2.2,3.3,0.44,1.2,29.0,b
L'original (fromage),1460.0,0.1,27.5,26.0,1.5,0.0,0.1,d
Chergui maxi brassé,469.1,16.0,2.8,3.5,0.12,,18.0,c
Milled Flaxseed,2022.3,0.9,38.0,21.4,0.13,28.8,1.3,a
Huile d'olive verge extra,3374.4,0.0,91.2,0.0,0.0,,0.0,b
Flocons d'avoine,1561.0,0.8,6.7,13.2,0.01,9.7,59.5,a
Creamy Peanut Butter,2615.15151515152,9.09090909090909,48.4848484848485,21.2121212121212,1.06060606060606,6.06060606060606,24.2424242424242,c
Peanut Butter,2573.33333333333,6.66666666666667,46.6666666666667,26.6666666666667,0.0166666666666667,6.66666666666667,20.0,a
Original Stapelchips,2101.0,4.2,25.9,4.1,1.39,4.0,60.9,d
Soya Cuisine,567.5,1.2,13.0,3.1,0.05,0.4,1.8,b
2 Galettes Brebis - Figues,904.0,3.6,5.1,5.3,1.3,1.6,36.0,c
Spaghetti semi-complets,1460.0,3.3,1.8,13.0,0.03,5.2,67.0,a
Wholegrain Basmati Rice,545.0,0.2,2.1,2.8,0.03,3.0,23.3,b
Baked beans in tomato sauce,356.0,3.9,0.4,4.4,1.05,4.6,13.9,b
Sesame seed bagels,1130.82352941176,4.47058823529412,3.41176470588235,9.41176470588235,0.518529411764706,2.82352941176471,48.3529411764706,c
Lait fermenté,205.4,5.3,1.6,3.3,0.1,,5.3,b
Apple & Raisin Oat Bar,1784.0,29.0,17.4,5.6,0.29,4.9,59.3,e
Kid Smile,660.0,0.8,6.5,2.0,0.4,3.5,21.0,b
Filets de maquereaux,870.4,0.4,17.0,13.0,0.9,,1.2,c
PastaBox - Pâtes fraîches fromages italiens,685.0,0.5,7.3,6.7,0.59,1.5,17.0,c
Baked Beans in tomato sauce,380.0,4.7,0.5,5.3,0.47,6.8,12.8,a
Peanut Butter Smooth,2742.8,6.4,58.0,21.0,0.55,6.6,11.0,b
NESTLE FITNESS Honey Flavour Fiber Cerealien,1465.0,1.5,4.0,10.1,0.63,17.8,63.4,a
Pringles hot cheese,2173.0,3.4,30.0,6.6,0.59,4.1,54.0,c
Girasoli Gorgonzola AOP & Éclats de noix,1367.0,2.7,18.0,11.0,0.97,6.9,27.0,d
Cruesli 4 Nuts,1913.0,12.0,19.0,8.5,0.01,10.0,57.0,b
Compotée fruits rouge,385.0,19.0,0.4,0.7,0.0,2.8,19.0,b
Cheerios,1801.28205128205,5.12820512820513,6.41025641025641,12.8205128205128,1.21794871794872,10.2564102564103,74.3589743589744,c
Velouté châtaigne potimarron huile de noisette,332.0,2.6,3.2,1.4,0.49,1.2,11.0,c
Fromage frais Nature Malo 20% *Matières grasses sur extrait sec soit 3% de matières grasses sur produit fini,275.0,3.3,2.8,6.2,0.08,0.0,3.9,a
Original Breadsticks,1756.2,1.6,8.3,13.5,1.8,3.7,70.0,d
0 % finesse Poire,255.6,6.0,0.2,4.6,0.0,,10.0,a
Bio Organic Almond Drink,94.5,2.3,1.2,0.5,0.09875,0.1,2.4,c
Panzani sauce tomate cuisinee nat 650g f12,244.0,6.3,2.0,1.5,0.89,1.3,7.9,a
MEAT-FREE TASTY SAUSAGES,616.0,0.5,6.0,8.7,1.5,3.3,12.0,d
Storia 100% Tender Coconut Water 1L,83.0,5.1,0.0,0.1,0.0525,0.0,5.1,c
Riz complet,1486.0,0.5,2.4,7.4,0.02,1.8,75.0,b
Yahourt morceaux de fruits framboise fraise,380.0,12.5,2.3,3.4,0.13,,13.0,c
Panzani coquillette 500g,1531.0,3.7,2.0,12.0,0.0,3.6,72.0,a
"Lingonberry jam, organic",723.0,39.0,0.0,0.0,0.0,,42.0,d
Nata fresca para cocinar,1172.0,1.9,29.7,2.4,0.05,,1.9,d
Zohor,3765.0,0.0,100.0,0.0,0.0,,0.0,c
Géant brioché,1213.4,7.9,5.4,9.6,1.145,4.3,48.0,c
Good Seed Organic Bread Thin-Sliced,1316.07142857143,7.14285714285714,5.35714285714286,14.2857142857143,1.07142857142857,10.7142857142857,46.4285714285714,a
körniger Frischkäse,409.6,2.8,4.5,11.5,0.53,,2.8,b
Huile d'olive Bouteille 50cL,3700.0,0.0,100.0,0.0,0.0,0.0,0.0,b
"Féta grecque AOP au lait pasteurisé de brebis et chèvre , 25% MG",1194.0,0.5,25.0,15.0,2.3,0.0,1.7,d
Weetabix Oatiflakes,1708.2,14.0,8.6,11.0,0.258333333333333,8.0,67.0,b
Very Low Salt Organic Vegetable 6 Stock Cubes,39.0,0.2,0.5,0.1,0.1,,0.9,unknown
سيف الفريز,300.0,0.0,1.4,2.3,0.0,0.0,13.7,b
HERTA Knacki Veggie Saucisses végétales x10 - 350g,1096.8,2.2,20.0,16.0,1.34,2.1,4.0,c
Tortas de Aceite,2055.8,17.0,24.0,6.0,0.32,3.6,61.0,d
"Sardinillas en aceite de oliva, reducido en sal",1335.0,0.0,27.0,19.0,0.7,,0.6,c
Extra Virgin Olive Oil,3404.0,0.0,92.0,0.0,,0.0,0.0,unknown
Fromage tranches pour sandwich,1103.0,9.0,22.0,8.0,1.0,,9.0,d
Bran Flakes,1512.5,11.0,2.5,12.0,0.28,16.0,64.0,a
MARGARINE OMEGA 3 SANS Huile de Palme 250G,1998.0,0.0,54.0,0.0,0.45,0.0,0.0,d
RIZ,1569.0,1.1,2.6,7.7,,2.8,74.0,unknown
Skinless & Boneless Sardines in 100% Olive Oil,818.0,0.0,12.0,22.0,0.85,0.0,0.0,b
Tranches saveur Emmental,1243.7,0.6,23.0,0.1,1.9675,,23.0,e
Bio Date Syrup,1586.0,91.0,0.1,2.0,0.1,0.1,92.0,unknown
Puglian Extra Virgin Olive Oil,3378.1,0.0,91.3,0.0,0.0,0.0,0.0,b
Thé latté chocolat noisette & chaï,1749.0,2.3462,0.2981,0.3029,0.11,0.0,3.0,unknown
Kefir Drink Natural,193.0,4.1,1.5,3.4,0.1275,,5.2,b
Müsli Multifrucht,1459.6,20.0,5.3,9.1,0.06,9.4,60.8,b
KEFIR cultured lowfat milk,165.416666666667,3.75,0.833333333333333,4.16666666666667,0.130208333333333,0.0,3.75,b
Bouillon à la chinoise,124.0,1.3,0.25,0.9,0.9,0.45,5.5,unknown
Maille Cornichons Fins Bocal 300g,58.0,0.7,0.5,0.6,2.3,0.5,2.0,c
BRIDELIGHT LE PTIT GOURMAND ALLEGE 5%MG 250g,610.0,0.5,5.0,25.0,1.3,2.0,0.5,c
Muesli croustillant 3 chocolats,1899.0,24.0,17.0,9.1,0.28,7.6,62.0,d
Epinard hachés à la crème,205.0,0.8,3.0,2.0,0.48,1.9,2.8,b
Classic,2116.0,4.1,26.0,4.4,1.2,4.2,62.0,d
Wraps,1139.0,1.5,6.2,7.1,1.0,9.3,42.0,c
Mozzarella en bolitas,807.0,0.5,14.0,15.0,0.6,,2.0,c
löslichen Kaffee,8.5,0.0,0.0,0.2,0.0,0.0,0.3,unknown
Boisson soja nature,157.0,1.8,1.8,3.2,0.05,0.7,1.8,b
Arroz integral largo,1483.2,0.5,2.8,7.6,0.01,3.3,72.0,b
Heinz tomato ketchup,427.0,22.8,0.1,1.2,1.77,0.0,23.2,d
Wheat Biscuits,1517.89473684211,4.47368421052632,2.10526315789474,12.1052631578947,0.256578947368421,10.0,67.8947368421053,a
Edam tendre Holland KROON,1351.0,0.0,24.0,25.0,6.5,,0.0,e
High Protein Granola Cranberry & Almond,1822.0,18.3,16.3,24.9,0.48,5.9,44.1,d
Körniger Frischkäse,381.0,1.0,4.0,13.0,0.7,0.0,1.0,b
Gourmand & Végétal Vanille,390.0,7.6,4.0,0.5,0.08,0.0,13.7,c
Huile d'Olive,3768.0,0.0,100.0,0.0,0.0,,,b
Salt and Vinegar Flavour Rice and Corn Cakes,1715.23809523809,0.952380952380952,5.71428571428571,8.57142857142857,1.33333333333333,3.80952380952381,78.0952380952381,c
Penne Rigate Integral,1460.0,3.7,2.4,13.5,0.01,10.0,62.0,a
Cocoa Alpha Bites,1638.4,12.0,2.4,10.0,0.1,6.7,78.0,a
Lentilles Cuisinées Au Chorizo,472.3,2.1,4.0,5.9,0.77,2.5,12.0,c
Galette de maïs Chocolat Noir,2047.0,22.0,23.0,7.1,0.04,6.3,61.0,e
Activia bifidus nature 0% de mg 125 g x 8,175.0,5.8,0.1,4.3,0.16,,5.8,a
Galettes 4 céréales bio,1673.0,0.6,2.9,8.9,0.2175,2.6,82.0,b
Tulipan,2183.0,0.4,59.0,0.4,0.9,,0.4,d
Ka'ré chocolat noisette,1779.0,28.0,13.0,8.4,0.63,6.4,65.0,d
Dost,322.96,10.0,2.48,2.8,0.1,,10.8,e
French Inspired Lentils,499.0,2.1,2.4,7.2,0.79,5.2,14.5,b
Peanut Butter 100% Cacahuetes,2885.0,2.8,55.6,31.9,0.02,14.4,10.1,a
TREK PROTEIN AVOINE - Biscoff (3x1p),1954.0,23.0,24.0,18.0,0.73,7.0,43.0,not-applicable
Oasis sorbet Tropical,503.7,24.0,0.5,0.5,0.05,0.3,27.9,c
Coeurs de palmiers,113.0,1.1,0.1,2.4,0.83,2.4,2.9,a
Fromage frais onctueux,499.0,4.2,8.0,7.7,0.09,,4.2,c
Pains au lait x10,1536.0,11.0,9.0,9.5,0.85,2.3,52.0,d
Foies de volailles confits,709.0,0.0,10.0,19.0,1.5,0.0,1.1,d
Chips saveur côte de boeuf grillée,2177.0,2.4,31.0,6.3,1.3,4.8,52.0,d
Sante Tropical Muesli Whole Grain Oat 350G,1446.3,15.0,2.7,8.2,0.18,,71.0,c
Caviar de Tomates à l'Ail,780.4,6.0,15.9,2.2,2.0,3.4,7.5,c
Sardinillas en aceite de oliva,1513.0,0.0,33.3333333333333,16.6666666666667,1.2,,0.0,d
Coconut Milk,419.0,1.3,11.0,0.5,0.05,0.0,2.2,e
Mix cereales 0% azúcares añadidos,1582.0,1.79,3.57,11.02,0.336,7.13,70.9,a
"FROMAGE BLANC 3,2% NATURE CALIN EXTRA",344.0,6.6,3.2,5.7,0.13,0.0,6.6,b
General mills cheerios gluten free,1801.0,5.12821,6.41,12.82,1.21795,10.25641,74.35,c
Pulpy Orange,217.0,12.7,0.0,0.0,0.024,0.0,13.1,e
Panier de yoplait aux morceaux de fruits,380.0,12.5,2.3,3.3,0.13,0.0,13.1,c
Berry Delight,1597.0,48.0,12.0,6.7,0.02,8.7,57.0,d
Bio organic avoine cuisine,411.5,0.6,7.4,0.4,0.1,0.0,7.7,b
High Protein Crunchy Musli,1865.0,14.2,14.1,29.1,0.225,4.5,47.8,d
Greek style natural yogurt,424.6,4.2,7.6,4.0,0.0975,0.5,4.2,c
Torti 1 kg,1531.0,3.7,2.0,12.0,0.0,3.6,72.0,a
Filets de Maquereaux moutarde de Dijon,995.0,1.3,19.0,14.0,1.2,0.0,3.2,c
Chips au sel de l'Ile de Ré,1828.5,0.6,28.0,6.5,1.0,4.5,38.0,c
All-Bran Original,1400.0,18.0,3.5,14.0,0.95,27.0,48.0,c
olive spray oil,1980.0,0.0,49.5,0.0,0.0,0.0,0.1,b
Peanut Delight,1868.28571428571,34.2857142857143,22.8571428571429,12.8571428571429,0.564285714285714,9.42857142857143,42.8571428571429,d
Thon entier au naturel,425.23,0.6,0.19,24.0,0.53,,0.6,a
Flocons d'avoine - Source de fibres,1570.0,1.1,8.0,11.0,0.01,9.0,60.0,a
Mogu litchi,225.0,12.0,0.0,0.0,0.05,0.5,13.0,e
Knorr Chicken Cubes,35.5,0.5,0.5,0.5,0.45,,0.5,not-applicable
Grana Padano,1634.0,,29.0,33.0,1.475,,0.0,unknown
Lait de coco fluide bio,703.4,0.5,18.0,1.2,0.06,,1.0,e
Krounchy Muesli croustillant,1757.0,16.0,12.0,14.0,0.05,9.0,59.0,a
Raïbi,301.0,9.2,1.1,2.3,0.0,0.0,13.3,e
Gourmand & Végétal Délice Chocolat,470.0,13.5,3.3,1.5,0.16,2.2,17.9,c
"Confiture fraise 65% de fruits, 320g",710.0,38.0,0.5,0.5,0.03,1.3,40.0,d
Tortilla wraps,1310.0,1.9,6.5,9.9,0.95,2.3,52.0,c
Mouliné de nos campagnes Légumes de France,121.9,1.5,0.9,0.8,0.6,1.3,3.8,b
Ready Salted Crisps,2070.0,0.3,27.4,6.8,0.9,3.4,53.7,d
Peanut Butter Crunch,242.000000000005,2.9411764705882,0.0,10.588235294118,0.095588235294118,1.5,2.9411764705882,a
"Muesli Énergie (cacao, banane, guarana)",1529.0,4.5,4.8,11.0,0.06,9.6,65.0,a
Choco Shells,1594.3,22.4,2.7,9.6,0.29,8.3,74.4,c
Saupiquet - Thon à la Catalane,327.4,1.5,2.6,7.2,1.1,,6.4,c
Yaourt étuvé bio nature 12x125g,268.0,3.8,3.5,3.4,0.1,0.5,4.2,b
Crème d'Isigny,1570.1,2.9,40.0,2.4,0.1,,2.9,d
Tofu aux herbes,558.0,0.8,7.9,13.0,0.65,3.3,1.1,a
Huile Isio 4 Olive,3700.0,0.0,100.0,0.0,0.0,,0.0,c
Riste d'aubergines,480.0,3.1,11.0,1.1,0.82,,3.8,b
Yaourt bio sucré à la poire,378.7,12.5,2.7,3.6,0.14,,12.8,c
Tesco No Added Sugar or Salt Swiss Style Muesli,1529.0,13.3,4.2,10.5,0.03,8.5,66.3,a
Walkers Cheese & Onion crisps,2126.8,2.8,29.6,6.8,0.0029,4.0,52.0,c
NESTLE LION WILD Céréales 600g,1819.0,24.9,15.5,5.0,0.85,4.6,65.8,d
Parmigiano Reggiano & Poppyseed Torinesi Breadsticks,1804.0,2.6,11.0,13.0,2.3,3.3,68.0,e
Fuzetea thé vert infusé,74.8,4.4,0.0,0.0,0.05,,4.4,d
Thon entier Nature,392.5,0.0,0.5,22.0,1.0,0.0,0.0,a
Crème de coco,871.0,2.3,21.0,1.2,0.0,,3.3,e
Eritritol y sucralosa,0.0,0.0,0.0,0.0,0.0,0.0,99.5,not-applicable
Barres de céréales chocolat noir,1737.2,23.2,12.8,6.6,0.19,5.8,65.0,d
Nature valley crunchy oats and honey,2070.0,26.0,18.09,8.57,0.835,6.4,71.42,d
Wraps Original,1315.19607843137,2.28758169934641,6.86274509803922,8.00653594771242,0.73937908496732,2.45098039215686,53.2679738562091,c
Tofu Soyeux,179.4,0.9,2.0,5.2,0.03,,1.0,a
Scottish Porridge Oats 100% Wholegrain,1624.4,0.8,8.5,10.5,7.5e-05,6.7,63.4,a
Peanut Butter Crunchy,2523.0,6.7,48.0,27.0,0.04,7.6,12.0,a
Proteínas Sabor Tropical,208.214285714286,3.85714285714286,0.392857142857143,7.14285714285714,0.116071428571429,,4.25,b
Instant cicoria solubile,1384.0,21.0,0.0,4.2,0.31,25.0,65.0,unknown
6111270962555,2096.9,0.3,24.5,,0.3,,24.0,unknown
Tofu sésame,815.3,0.5,13.0,17.0,0.6975,2.9,1.3,b
Hafermilch,250.4,3.4,3.0,1.1,0.1,,7.1,d
Total 2% Milkfat,296.176470588235,2.94117647058824,2.05882352941176,10.0,0.0808823529411765,0.0,2.94117647058824,a
Soya,160.4,2.5,1.7,3.0,0.09,0.5,2.5,b
Myrtille cerise,239.0,4.5,2.2,4.1,0.1,,5.0,a
BARBECUE LENTIL CHIPS,1962.7,4.1,20.0,9.7,2.35,2.6,61.0,d
Purée de noisettes,2850.0,3.9,64.0,18.0,0.01,11.0,5.7,a
nut granola BLUEBERRY CINNAMON,2680.0,6.66666666666667,50.0,13.3333333333333,0.208333333333333,23.3333333333333,30.0,c
Glace Macadamia Nut Brittle,1147.0,24.2,17.3,4.0,0.16,0.1,25.3,e
5 Large Traditional Lebanese Flat Bread White,991.7,1.3,0.9,5.9,0.5,2.5,49.3,b
Creamy Peanut Butter,2721.875,9.375,50.0,25.0,1.09375,9.375,21.875,c
Croustibat x16,791.0,0.7,7.4,13.0,0.66,0.9,17.0,a
Black Forest Tofu,712.0,1.1,8.4,19.0,1.87,,3.8,d
Swiss Style Muesli,1550.22222222222,14.0,5.33333333333333,10.2222222222222,0.0222222222222222,6.66666666666667,66.2222222222222,a
1L MAISON PERRIER CITRON VERT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
NESTLE COOKIE CRISP Céréales 625g,1659.0,22.4,5.2,6.7,0.66,6.0,78.0,c
YORKSHIRE COTTAGE CHEESE NATURAL,434.5,2.1,6.0,10.3,0.002,,2.2,b
Filet de maquereaux au citron bio et basilic bio,846.1,0.8,14.0,18.0,0.5275,,1.3,a
"Plant Butter, spreadable",2940.0,0.5,79.0,0.5,1.0825,,0.5,d
"Spécialité au soja, Pêche Fleur de Sureau",321.0,9.7,2.1,3.8,0.08,,10.3,b
Falafels menthe & coriandre,921.0,2.1,14.0,6.7,0.78,6.3,14.0,a
Curry vert de légumes et riz thaï,430.0,1.6,3.2,4.3,0.35,2.2,13.0,b
Classic Mayo,2755.5,0.0,73.6,1.8,0.829,0.0,0.1,e
Ginger Crystallized In Dark Chocolate,2092.0,40.0,33.33,6.67,0.0,10.0,53.33,not-applicable
