energy_100g,sugars_100g,fat_100g,proteins_100g,salt_100g,fiber_100g,carbohydrates_100g,label
420.0,3.5,7.9,3.1,0.12,0.0,3.5,Moderate
1949.0,18.0,20.0,11.0,0.03,6.1,58.6,Moderate
178.0,0.5,2.6,3.9,0.03,0.5,0.7,Healthy
1139.0,4.8,5.0,9.4,1.1,5.8,44.0,Moderate
900.0,10.0,10.0,3.33333333333333,0.0,1.66666666666667,31.6666666666667,Moderate
2227.0,1.4,31.0,5.9,1.1,3.5,56.0,Unhealthy
1572.0,14.0,9.6,30.0,0.02,14.0,35.0,Healthy
1838.0,26.0,15.0,6.6,0.94,3.7,71.0,Unhealthy
1846.0,13.0,17.0,13.0,0.13,6.0,58.0,Healthy
963.1,1.2,15.0,15.0,2.2,3.2,7.5,Unhealthy
1599.0,2.8,2.3,9.9,0.32,2.5,78.0,Healthy
147.0,0.0,4.0,0.0,0.0,0.0,0.0,Moderate
578.5,0.5,7.7,15.0,0.59,2.7,1.0,Healthy
2203.0,0.9,31.0,6.1,1.0,4.1,55.0,Unhealthy
147.0,3.6,6.2,7.0,1.8,4.8,5.3,Moderate
525.0,9.0,0.4,4.6,0.5,3.0,24.0,Healthy
986.0,0.7,12.5,13.1,0.98,5.7,15.0,Healthy
698.0,2.8,2.9,4.6,0.47,1.4,29.0,Moderate
835.0,4.0,1.3,4.6,1.1,10.0,37.0,Healthy
2331.0,0.0,63.0,0.0,0.3,0.0,0.0,Moderate
59.0,5.5,1.28,1.75,0.0,0.0,10.1,Moderate
2659.0,0.0,70.0,1.0,0.7,0.0,0.7,Moderate
182.0,8.9,0.0,0.8,0.0,0.6,8.9,Moderate
120.0,6.6,0.0,0.1,0.03,0.0,6.6,Unhealthy
600.0,3.9,12.0,3.1,0.11,0.0,6.1,Unhealthy
720.0,1.6,16.0,1.2,0.08,1.1,5.8,Unhealthy
1748.0,18.0,13.0,9.8,0.11,10.0,60.0,Moderate
1125.0,7.7,4.3,7.0,1.1,3.8,48.0,Moderate
519.9,9.0,0.4,4.6,0.8,3.0,23.7,Healthy
693.0,39.0,0.2,0.5,0.0,1.8,39.0,Unhealthy
1596.0,4.0,5.0,15.0,1.3,8.5,64.0,Moderate
2984.0,4.1,71.4,11.2,0.01,10.0,4.2,Healthy
1120.0,0.7,22.2,5.8,1.19,7.4,8.4,Healthy
3206.66666666667,0.0,86.6666666666667,0.0,0.0,0.0,0.0,Healthy
1577.5,6.3,3.5,11.0,1.4,11.0,69.0,Moderate
3404.0,0.0,92.0,0.0,0.0,0.0,0.0,Healthy
2525.0,10.3,43.9,27.5,0.82,7.9,15.6,Moderate
1063.4,0.2,16.1,19.8,1.1,3.0,6.3,Moderate
2186.0,2.6,31.0,6.3,1.6,4.8,52.0,Unhealthy
326.0,1.4,4.4,3.5,0.6,1.7,5.3,Healthy
1645.0,4.6,5.8,13.0,0.2,11.0,66.0,Healthy
1579.0,3.6,2.8,12.0,0.5,3.8,73.0,Healthy
2167.0,2.0,30.0,6.3,1.1,4.0,54.0,Unhealthy
1427.0,0.5,3.0,10.0,1.2,20.0,58.0,Healthy
1531.0,4.2,2.0,12.0,0.28,10.0,69.0,Healthy
866.3,0.5,9.5,11.0,0.7275,0.6,19.0,Healthy
1060.86206896552,0.517241379310345,3.79310344827586,8.62068965517241,0.0021551724137931,5.51724137931035,42.9310344827586,Healthy
291.7,7.9,2.2,3.7,0.15,1.0,8.2,Healthy
821.3,0.7,8.7,13.0,0.67,0.8,16.0,Healthy
940.8,5.9,18.0,9.5,4.25,0.35,6.5,Unhealthy
1625.7,22.0,1.5,5.2,0.4,4.6,85.0,Moderate
66.8,8.0,0.0,0.0,0.05,0.0,10.0,Unhealthy
79.6,0.5,1.4,0.6,0.11,0.5,0.8,Healthy
1786.0,21.0,15.0,7.8,0.03,4.2,68.0,Moderate
1615.0,2.1,2.2,12.0,0.025,4.7,76.0,Healthy
1447.0,9.0,6.0,12.0,0.02,15.0,53.0,Healthy
1956.0,21.0,18.0,9.1,0.69,4.2,65.0,Unhealthy
252.1,4.0,4.0,1.2,0.09,0.9,4.5,Unhealthy
792.4,3.7,5.2,6.8,1.0,5.3,26.0,Healthy
1719.0,4.8,6.1,12.0,0.01,3.7,74.0,Moderate
2177.0,3.4,31.0,6.3,1.4,4.8,52.0,Unhealthy
831.0,0.3,17.0,11.0,1.3,0.6,0.6,Unhealthy
509.9,1.1,4.5,5.8,0.98,5.1,12.0,Healthy
265.7,14.0,0.2,0.3,0.0,1.9,14.0,Healthy
1400.0,18.0,3.5,14.0,0.95,27.0,48.0,Moderate
1536.0,2.3,19.0,6.9,0.94,2.3,41.0,Unhealthy
1643.5,0.5,2.7,8.5,0.295,0.0,82.3,Healthy
991.333333333333,2.66666666666667,1.11111111111111,9.33333333333333,0.687222222222222,3.55555555555556,44.8888888888889,Healthy
251.0,5.5,1.2,2.7,0.0,0.0,9.6,Healthy
2148.0,0.5,30.0,6.2,1.3,3.9,54.0,Unhealthy
2951.0,1.7,69.6,17.0,0.0,6.2,2.2,Healthy
1649.0,7.9,1.2,7.0,1.0,2.9,86.0,Moderate
563.5,4.0,1.5,6.0,0.425,4.0,22.0,Healthy
106.0,0.5,1.7,0.7,0.1,0.5,1.7,Healthy
729.0,3.0,4.8,20.0,1.1,4.3,10.4,Healthy
1039.9,3.4,0.7,10.0,0.7675,1.8,48.8,Healthy
178.0,1.32,1.92,0.72,0.68,0.8,5.2,Moderate
149.0,4.5,0.5,1.6,0.5,1.5,5.1,Healthy
689.8,8.5,6.7,6.4,0.0,0.0,19.4,Moderate
2607.0,8.5,52.0,25.0,0.73,6.7,12.0,Moderate
2104.0,2.8,27.0,6.5,0.65,5.3,55.0,Moderate
176.0,1.4,1.9,0.7,0.51,0.7,5.2,Healthy
2571.0,7.7,51.6,23.6,1.5,12.1,7.8,Moderate
3389.2,0.0,91.6,0.0,0.0,0.0,0.0,Healthy
260.0,7.8,0.1,6.5,0.13,0.1,7.8,Healthy
1799.6,9.0,9.6,12.0,0.88,6.3,70.0,Moderate
2873.0,2.5,66.5,16.9,0.01,9.9,2.7,Moderate
1616.0,6.5,1.8,6.7,0.39,4.3,83.0,Healthy
526.7,1.7,1.2,5.1,0.64,2.7,22.0,Moderate
1521.0,3.5,2.0,13.0,0.01,3.0,71.0,Healthy
603.0,0.1,7.8,16.5,0.00015,1.9,1.1,Healthy
2160.1,4.1,29.0,6.3,1.08,3.5,56.0,Unhealthy
1604.0,8.0,0.9,7.0,1.1,3.0,84.0,Unhealthy
461.0,1.1,8.3,1.5,0.94,4.2,5.6,Healthy
182.0,5.0,1.2,0.5,0.08,0.8,7.0,Moderate
1654.0,8.6,12.0,15.0,0.03,11.0,51.0,Healthy
519.9,9.0,0.4,4.6,0.5,3.0,23.7,Healthy
1153.0,5.1,4.6,8.0,1.1,6.0,47.0,Moderate
604.0,1.3,6.7,5.4,0.6,7.5,12.0,Healthy
1170.6,3.8,6.6,10.0,0.0022,5.3,42.0,Healthy
739.0,2.0,0.8,6.0,1.48,2.0,35.3,Moderate
2402.0,5.0,48.0,26.0,0.04,12.0,5.2,Healthy
521.9,4.1,10.0,4.1,0.0975,0.5,4.6,Moderate
291.0,5.0,2.8,5.0,0.16,1.3,5.3,Healthy
1925.0,17.0,19.0,9.6,0.17,9.1,58.0,Moderate
736.6,37.0,0.5,0.5,0.02,3.7,40.0,Moderate
933.0,4.3,21.0,5.4,0.75,0.2,4.3,Unhealthy
1961.0,0.0,53.0,0.0,0.42,0.0,0.0,Unhealthy
1198.4,3.6,4.4,8.4,0.9,2.8,51.2,Moderate
540.0,3.9,10.8,3.9,0.12,0.0,3.9,Moderate
809.0,1.8,8.1,12.0,0.46,1.3,17.0,Healthy
1158.0,7.0,19.0,5.0,0.85,0.0,9.0,Unhealthy
1477.14285714286,2.85714285714286,0.952380952380952,10.4761904761905,0.928571428571429,14.2857142857143,67.6190476190476,Healthy
1446.25,4.0,2.0,11.25,0.24375,9.5,65.0,Healthy
2488.0,6.5,47.6,20.5,0.02,5.2,19.8,Healthy
1560.0,1.0,1.66666666666667,7.66666666666667,0.7,1.0,80.0,Moderate
2190.0,0.61,34.0,5.9,1.3,4.5,47.0,Unhealthy
224.5,2.1,3.0,3.9,0.32,0.8,2.4,Healthy
394.0,0.5,0.5,6.6,0.76,3.1,14.0,Healthy
245.9,7.2,1.9,0.8,0.08,0.7,9.2,Unhealthy
1529.0,1.9,2.7,14.6,0.78,8.8,66.0,Healthy
796.2,3.5,7.9,6.7,0.97,2.0,22.0,Moderate
1717.0,4.2,10.0,10.0,1.1,6.9,66.0,Moderate
948.8,4.4,2.2,7.8,0.1875,2.6,42.0,Healthy
1249.84,10.71,3.57,10.71,0.9375,10.71,50.0,Healthy
968.0,19.0,7.4,16.0,44.6,5.8,23.0,Unhealthy
1566.0,0.7,7.0,14.0,0.01,10.0,59.0,Healthy
1321.2,4.8,8.6,8.6,0.39,13.6,44.0,Healthy
491.0,1.2,2.4,6.3,0.6,7.6,15.0,Healthy
1563.0,0.7,2.9,17.0,0.2,9.8,64.0,Healthy
2203.0,0.9,31.0,6.2,1.0,4.1,54.0,Unhealthy
321.0,3.0,3.2,1.7,0.85,1.5,9.5,Healthy
2065.66666666667,2.66666666666667,29.0,6.66666666666667,1.2,3.66666666666667,50.0,Unhealthy
254.0,0.0,2.0,5.8,0.0,0.0,4.7,Healthy
1532.0,0.5,29.0,27.0,0.83,0.5,0.5,Unhealthy
1847.0,16.0,16.0,7.4,0.0,10.0,62.0,Moderate
491.0,1.9,6.2,3.9,0.4,2.4,10.0,Healthy
1604.3,8.0,0.9,7.0,1.1,3.0,84.0,Unhealthy
2141.0,0.5,29.0,6.2,0.65,5.2,55.0,Moderate
966.0,0.0,14.2,25.8,1.0,0.0,0.0,Healthy
226.1,3.0,0.0,10.3,0.1,0.0,3.0,Healthy
325.0,5.5,1.7,2.6,0.28,2.8,11.5,Healthy
1576.0,17.1,2.7,9.4,0.0,5.6,80.4,Moderate
568.0,0.6,2.3,8.0,0.65,7.2,17.0,Healthy
1125.4,2.3,1.5,1.9,1.17,3.9,59.2,Moderate
1542.0,26.0,9.3,6.8,0.11,7.8,60.0,Moderate
203.0,11.7,0.0,0.0,0.0,0.0,11.7,Unhealthy
1838.0,1.8,46.0,2.6,1.7,4.2,3.2,Unhealthy
